epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.557211697101593,0.4375,0.000929861853364855,0.1332802027463913,2.314520835876465,0.6616671085357666,0.0,0.0,0.21253985166549683,2.2018468379974365
1,0.6675888299942017,0.5532358884811401,0.01173397060483694,0.21422246098518372,2.161133289337158,0.7306168675422668,1.0,0.0008855827036313713,0.3228834569454193,2.053319215774536
2,0.7223132848739624,0.6626712083816528,0.034272052347660065,0.2713868319988251,2.049448013305664,0.7679129838943481,0.9055117964744568,0.04073680564761162,0.3593694567680359,1.9410433769226074
3,0.7543357610702515,0.7277716994285583,0.0587141327559948,0.3009209930896759,1.967610478401184,0.7783359289169312,0.852830171585083,0.08005667477846146,0.3618490993976593,1.8822360038757324
4,0.7776490449905396,0.7613328099250793,0.08700849860906601,0.32301628589630127,1.8891992568969727,0.789732038974762,0.9156626462936401,0.13460856676101685,0.3749557137489319,1.8405762910842896
5,0.7940784096717834,0.7901069521903992,0.10467587411403656,0.33811548352241516,1.8403661251068115,0.7901504039764404,0.8903365731239319,0.1452355682849884,0.3701735734939575,1.8263334035873413
6,0.80404132604599,0.8003624081611633,0.11733970791101456,0.34586432576179504,1.8038017749786377,0.7957988381385803,0.8646245002746582,0.1549769788980484,0.3664541244506836,1.804289698600769
7,0.8170509338378906,0.8056095242500305,0.12845377624034882,0.3586609959602356,1.7547755241394043,0.7922819256782532,0.8380531072616577,0.16772936284542084,0.3618490993976593,1.8154504299163818
8,0.8244427442550659,0.8124496936798096,0.13407722115516663,0.36835813522338867,1.7309366464614868,0.7963382601737976,0.857536792755127,0.16524973511695862,0.3703506886959076,1.8143783807754517
9,0.8322429060935974,0.8222452998161316,0.1400991827249527,0.3739815652370453,1.7032668590545654,0.7926907539367676,0.8634651303291321,0.16241587698459625,0.37052780389785767,1.8341001272201538
10,0.84430992603302,0.8325135111808777,0.1498848795890808,0.3852284848690033,1.6488654613494873,0.7938587069511414,0.8107202649116516,0.17144881188869476,0.3735387921333313,1.8535435199737549
11,0.8497495651245117,0.8288883566856384,0.15550832450389862,0.40099185705184937,1.628021001815796,0.793724000453949,0.8037766814231873,0.17339709401130676,0.3703506886959076,1.8667744398117065
