epoch,accuracy,loss,val_accuracy,val_loss
0,0.20496812462806702,2.097071409225464,0.0,2.9465675354003906
1,0.41724228858947754,1.649624228477478,0.01647183857858181,2.7724788188934326
2,0.5288257002830505,1.3916722536087036,0.06376195698976517,2.6065759658813477
3,0.5859457850456238,1.2364014387130737,0.07438895106315613,2.6977782249450684
4,0.6216790676116943,1.1329030990600586,0.25398513674736023,2.535897731781006
5,0.6509032845497131,1.050747275352478,0.28320935368537903,2.7432615756988525
6,0.6787991523742676,0.9816411137580872,0.25717321038246155,3.0340535640716553
7,0.696732223033905,0.9332774877548218,0.30977684259414673,2.6888585090637207
8,0.7258235812187195,0.8563523292541504,0.3347502648830414,3.0129287242889404
9,0.7340595126152039,0.8189179301261902,0.2683315575122833,3.2420880794525146
