epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.5505212545394897,0.7241379022598267,0.011158342473208904,0.14001062512397766,2.300119161605835,0.672504186630249,0.821052610874176,0.06907545030117035,0.24017003178596497,2.133591413497925
1,0.6688699722290039,0.7911864519119263,0.05167375132441521,0.22626638412475586,2.120828628540039,0.7193612456321716,0.9164178967475891,0.054374776780605316,0.2709883153438568,2.0421416759490967
2,0.7083728313446045,0.8094995021820068,0.0701824277639389,0.25748318433761597,2.032724618911743,0.7378464937210083,0.9008810520172119,0.07244066894054413,0.2848033905029297,1.9637526273727417
3,0.7344337701797485,0.8071459531784058,0.08302337676286697,0.2788257300853729,1.979127287864685,0.7507714629173279,0.9221968054771423,0.07137797027826309,0.3140276372432709,1.9425106048583984
4,0.7499322295188904,0.8003929257392883,0.09019660204648972,0.2941462993621826,1.946018934249878,0.7615603804588318,0.8655303120613098,0.08094225823879242,0.3289054334163666,1.9226293563842773
5,0.7695644497871399,0.79935622215271,0.09896387159824371,0.3131420612335205,1.897707223892212,0.7731109261512756,0.918181836605072,0.07155508548021317,0.35122209787368774,1.8974732160568237
6,0.7819337844848633,0.7973484992980957,0.1118490993976593,0.32341480255126953,1.8638665676116943,0.7787850499153137,0.8576512336730957,0.08537017554044724,0.3623804450035095,1.8936313390731812
7,0.7933946847915649,0.785876989364624,0.12221041321754456,0.3347502648830414,1.8309415578842163,0.7823291420936584,0.8809182047843933,0.10874955356121063,0.3852284848690033,1.8736021518707275
8,0.8026213049888611,0.7729376554489136,0.1257084608078003,0.3457314968109131,1.8013447523117065,0.7828555107116699,0.8218527436256409,0.1225646510720253,0.37708112597465515,1.8826476335525513
9,0.8104360699653625,0.7857703566551208,0.1330145299434662,0.35029223561286926,1.7810808420181274,0.7872399687767029,0.8260427117347717,0.14381863176822662,0.38168615102767944,1.8676055669784546
10,0.8181505799293518,0.7900237441062927,0.14727240800857544,0.36313319206237793,1.7535582780838013,0.7856272459030151,0.788898229598999,0.16613531112670898,0.3813319206237793,1.888452172279358
11,0.825429379940033,0.7940022945404053,0.15240877866744995,0.36835813522338867,1.7229849100112915,0.7909693121910095,0.8068376183509827,0.16719801723957062,0.3942614197731018,1.8557652235031128
12,0.8329578638076782,0.7902374863624573,0.1591392159461975,0.3769482672214508,1.6944223642349243,0.7897756695747375,0.8215488195419312,0.17286574840545654,0.3839886784553528,1.8766846656799316
13,0.8355321884155273,0.782400369644165,0.15905065834522247,0.3822617828845978,1.6835970878601074,0.7882494330406189,0.8156329393386841,0.17003187537193298,0.3871767520904541,1.8919426202774048
14,0.8445743918418884,0.7853618264198303,0.16914629936218262,0.3991764187812805,1.6496299505233765,0.7917852997779846,0.7534916400909424,0.19110874831676483,0.38877081871032715,1.9275628328323364
15,0.8533770442008972,0.783306896686554,0.1749468594789505,0.40143463015556335,1.61575186252594,0.7938243746757507,0.7758875489234924,0.18579524755477905,0.3956783711910248,1.9049209356307983
16,0.8546668887138367,0.7846183776855469,0.17888770997524261,0.4064381718635559,1.6097190380096436,0.7917417883872986,0.7746890783309937,0.18756641447544098,0.3905419707298279,1.9114725589752197
