accuracy,loss,val_accuracy,val_loss
0.30361825227737427,2.0341646671295166,0.3731656074523926,1.7104077339172363
0.4855794310569763,1.4901458024978638,0.6289308071136475,1.15431809425354
0.6591504812240601,1.0304213762283325,0.7253668904304504,0.8755625486373901
0.7441006898880005,0.7905743718147278,0.7337526082992554,0.7735622525215149
0.7886732816696167,0.6672763228416443,0.7547169923782349,0.7335028648376465
0.8143681287765503,0.5730545520782471,0.7756813168525696,0.6789138913154602
0.8411117196083069,0.4924278259277344,0.7735849022865295,0.7107650637626648
0.862087070941925,0.43949785828590393,0.7777777910232544,0.710396409034729
0.8626114130020142,0.41041189432144165,0.7819706201553345,0.6944695115089417
0.8778185844421387,0.36892616748809814,0.7861635088920593,0.7160095572471619
0.88725745677948,0.3491837680339813,0.7756813168525696,0.740645170211792
0.8793917298316956,0.33890172839164734,0.7903563976287842,0.6980324387550354
0.9019402265548706,0.30782783031463623,0.7735849022865295,0.7568054795265198
0.9035133719444275,0.27670037746429443,0.7861635088920593,0.7419899702072144
0.9124279022216797,0.2706610858440399,0.7798742055892944,0.7607061266899109
0.9140010476112366,0.2709594666957855,0.7672955989837646,0.7942684292793274
