epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.6078599691390991,0.6037735939025879,0.001416932325810194,0.14709529280662537,2.2754275798797607,0.715361475944519,0.0,0.0,0.2463691085577011,2.0903537273406982
1,0.7067010402679443,0.7005307078361511,0.04091392084956169,0.23450230062007904,2.075500011444092,0.756034255027771,0.8064046502113342,0.09812256693840027,0.29348212480545044,1.9561508893966675
2,0.7453246116638184,0.7202556729316711,0.06486893445253372,0.26598477363586426,1.9862709045410156,0.7684733867645264,0.7250293493270874,0.10928090661764145,0.3184555470943451,1.9223735332489014
3,0.7655550241470337,0.7120419144630432,0.07226354628801346,0.28962981700897217,1.932605266571045,0.7748962640762329,0.7232142686843872,0.1147715225815773,0.3184555470943451,1.8973287343978882
4,0.7808364629745483,0.7146292328834534,0.0789496973156929,0.3035777509212494,1.8927080631256104,0.7794604301452637,0.7757575511932373,0.11335458606481552,0.32447749376296997,1.890146255493164
5,0.7935177087783813,0.7076980471611023,0.08426319807767868,0.31318631768226624,1.8545293807983398,0.7803979516029358,0.7047619223594666,0.11795961856842041,0.3179242014884949,1.8923587799072266
6,0.8041526675224304,0.7156363725662231,0.08714134246110916,0.3333775997161865,1.8187000751495361,0.7772333025932312,0.7019328474998474,0.12221041321754456,0.32323768734931946,1.9202375411987305
7,0.8118389844894409,0.7336350679397583,0.09329614043235779,0.3416135311126709,1.7924439907073975,0.7790253162384033,0.754045307636261,0.12380446493625641,0.33439603447914124,1.8926204442977905
8,0.8267737627029419,0.78097003698349,0.11193765699863434,0.3594580292701721,1.7424094676971436,0.7765227556228638,0.7794263362884521,0.13956783711910248,0.3513992130756378,1.9302804470062256
9,0.8304103016853333,0.7830386757850647,0.11570138484239578,0.36849096417427063,1.7267286777496338,0.7774442434310913,0.7838329076766968,0.15285158157348633,0.3482111096382141,1.9405663013458252
